Type;Name;Version;purl;Supplier;Website;Source;Description;Licenses;Direct Dependency of;SHA-512 Hash;BomRef
library;@babel/helper-globals;7.28.0;pkg:npm/%40babel/helper-globals@7.28.0;@babel;https://www.npmjs.com/package/@babel/helper-globals;https://registry.npmjs.org/@babel/helper-globals/-/helper-globals-7.28.0.tgz;;MIT;;d468dbe8eeffa09dbaaf1922548cba4ca7f918c234753ebb777bf6ea2af1633ab144fffd14ff79184a8f4c5304338c8d1c876da48d75234cc0f8fd10a5ffa4cc;e3733552-a919-482a-8d73-7856b2d3c557
library;@babel/helper-member-expression-to-functions;7.28.5;pkg:npm/%40babel/helper-member-expression-to-functions@7.28.5;@babel;https://www.npmjs.com/package/@babel/helper-member-expression-to-functions;https://registry.npmjs.org/@babel/helper-member-expression-to-functions/-/helper-member-expression-to-functions-7.28.5.tgz;;MIT;;4d2cf20aa3e2d1d5a4b3dc1421564aa2830d4564b7e62e8675099a29f936d3ee46e4c7110391f0a438c75eb57e1a177fb304d86360943c40aaf0d541cc5468e1;a913da00-39ed-4d05-9b37-355369939140
library;@babel/helper-module-imports;7.28.6;pkg:npm/%40babel/helper-module-imports@7.28.6;@babel;https://www.npmjs.com/package/@babel/helper-module-imports;https://registry.npmjs.org/@babel/helper-module-imports/-/helper-module-imports-7.28.6.tgz;;MIT;;2ac8c5064bb8c932d07f0c4315220b5b4420d35b18b4b0fa9642af8a36a1be59a432ada5da17cf330614618d084fe4d3aaa5b887025c48fa27b8b75b894f9923;e71a323d-4c73-4179-b3c7-6dd02ffd0a4b
library;@babel/helper-module-transforms;7.28.6;pkg:npm/%40babel/helper-module-transforms@7.28.6;@babel;https://www.npmjs.com/package/@babel/helper-module-transforms;https://registry.npmjs.org/@babel/helper-module-transforms/-/helper-module-transforms-7.28.6.tgz;;MIT;;6e19d4b6568fa9845b2e8b44af62ad9082745b04cdd7fa6abafa990b81c0b32ca0efc60dd4f6ddd84c91b8561711787be7dee1408b36863a81bd0471e82171f0;747f0b57-31ff-415d-ad69-b056068e659b
library;@babel/helper-optimise-call-expression;7.27.1;pkg:npm/%40babel/helper-optimise-call-expression@7.27.1;@babel;https://www.npmjs.com/package/@babel/helper-optimise-call-expression;https://registry.npmjs.org/@babel/helper-optimise-call-expression/-/helper-optimise-call-expression-7.27.1.tgz;;MIT;;92ede8e8bd0d795111c0ef287946bf2dbd8a3d958534b4916bb0c4a9a708d6431114ac5c70f088e08152281251eed5322c9181919f68c1263c5ddb649a86d977;c2711aa1-790b-4d77-881f-40cfebcc7355
library;@babel/helper-plugin-utils;7.28.6;pkg:npm/%40babel/helper-plugin-utils@7.28.6;@babel;https://www.npmjs.com/package/@babel/helper-plugin-utils;https://registry.npmjs.org/@babel/helper-plugin-utils/-/helper-plugin-utils-7.28.6.tgz;;MIT;;eb25ca5e4b3adf534fd854509650e7d6bd9e94897eec7a7760f0822f3912f9c7e2e0949bcf4331fcb26a8adb44875e0542ce5c3864b8720283924c55c13dc5db;96fad8ac-ca69-43d7-be69-358573d3f8d6
library;@babel/helper-replace-supers;7.28.6;pkg:npm/%40babel/helper-replace-supers@7.28.6;@babel;https://www.npmjs.com/package/@babel/helper-replace-supers;https://registry.npmjs.org/@babel/helper-replace-supers/-/helper-replace-supers-7.28.6.tgz;;MIT;;4994ef6d72aa1194493203ea27df69bd182a817cc3b37e91fe112a54b2b37df75a3ed46c267fa7fdd69cbaf5fe117603781b2a99deee87b8e92dfa32bc22d33f;54ea965d-2ea6-4385-9447-340f839e37db
library;@babel/helpers;7.29.2;pkg:npm/%40babel/helpers@7.29.2;@babel;https://www.npmjs.com/package/@babel/helpers;https://registry.npmjs.org/@babel/helpers/-/helpers-7.29.2.tgz;;MIT;;afb15ced81278107502ae390bd556190fea684384acbfa16c8d3172d5923c8f4ca4e8d4dd62a9722cb9df8ea111de0c8b48d83277b794c0543b718260dd1edea;43a4808f-e9a5-4cbe-b2a8-5ff567e94616
library;@babel/helper-skip-transparent-expression-wrappers;7.27.1;pkg:npm/%40babel/helper-skip-transparent-expression-wrappers@7.27.1;@babel;https://www.npmjs.com/package/@babel/helper-skip-transparent-expression-wrappers;https://registry.npmjs.org/@babel/helper-skip-transparent-expression-wrappers/-/helper-skip-transparent-expression-wrappers-7.27.1.tgz;;MIT;;b8436f7f26d93b8227eed408f2f16a2d8e04c47c1cde13c7e7ec7a32a233908274477c5f77c7ce1cb9f472e01c0c7c3348d35bb7bb2596e7101f3ddcfe2172d6;1578aa0b-6730-4534-b0a4-fce3d01cbc82
library;@babel/helper-string-parser;7.27.1;pkg:npm/%40babel/helper-string-parser@7.27.1;@babel;https://www.npmjs.com/package/@babel/helper-string-parser;https://registry.npmjs.org/@babel/helper-string-parser/-/helper-string-parser-7.27.1.tgz;;MIT;;1b40ea7939ebc115c041c9de74c2a27ab0d5d15a70689ed9e92937451956b9bab4d24736a187c7846757ed24ef4277303f7f720c4d0034b4654ea51b53b5b649;ee387947-bd85-426f-a177-e7ab0d05235e
